Eta Epsilon Compression Erreur_MvProd Erreur_Frob
10 -1 0.959477 0.00943651 0.0485487
10 1 0.867371 0.00374881 0.0326945
10 0.9 0.790058 0.00231984 0.0258354
10 0.5 0.753232 0.00185528 0.0250854
10 0.1 0.62645 0.00140097 0.0239103
10 0.01 0.469596 0.00134252 0.0238121
1 -1 0.862453 0.00374332 0.0187193
1 1 0.679933 0.00111606 0.0123183
1 0.9 0.545523 0.000516521 0.00995442
1 0.5 0.502687 0.000446705 0.00984579
1 0.1 0.358629 0.000341178 0.00963156
1 0.01 0.240929 0.000325014 0.0096169
0.1 -1 0.0497118 1.08237e-06 0.000190855
0.1 1 0.0199406 1.95974e-07 0.00011782
0.1 0.9 0.011671 9.05524e-08 0.000101612
0.1 0.5 0.011519 9.0267e-08 0.000101585
0.1 0.1 0.0113718 9.00558e-08 0.000101562
0.1 0.01 0.0113602 9.00109e-08 0.000101562
