Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.987175 0.0213441 0.0647676 0.311749 0.02161
10 1 0.965852 0.00985801 0.0415069 0.630061 0.033068
10 0.9 0.944448 0.00625598 0.0289795 0.84172 0.043545
10 0.5 0.932676 0.00507712 0.0267408 0.969357 0.053901
10 0.1 0.89067 0.00360448 0.0233407 1.5009 0.063124
10 0.01 0.830719 0.00357711 0.0230054 2.57297 0.082425
1 -1 0.962418 0.00537399 0.0205275 0.664191 0.06138
1 1 0.911969 0.00283169 0.013107 1.31524 0.090202
1 0.9 0.864564 0.00172862 0.00902401 1.84773 0.103956
1 0.5 0.843727 0.00131838 0.00847352 2.06338 0.116863
1 0.1 0.780089 0.00079893 0.00753492 2.78379 0.138468
1 0.01 0.709624 0.000781884 0.00735114 3.8715 0.171558
0.1 -1 0.45332 2.29706e-05 0.000351963 3.97979 0.876603
0.1 1 0.307336 5.48315e-06 0.000212799 6.46471 0.923801
0.1 0.9 0.201982 1.76747e-06 0.000140912 7.92991 0.98249
0.1 0.5 0.180386 1.54305e-06 0.000136984 8.64407 1.01694
0.1 0.1 0.122086 9.11154e-07 0.00012833 9.92853 1.04574
0.1 0.01 0.0891595 6.67725e-07 0.00012129 9.30991 1.01933
