Eta Epsilon Compression Erreur_MvProd Erreur_Frob
10 -1 0.959962 0.0192495 0.0676635
10 1 0.930513 0.0114646 0.0446356
10 0.9 0.903677 0.00623568 0.0302859
10 0.5 0.889692 0.00489586 0.026811
10 0.1 0.845646 0.00356123 0.0209805
10 0.01 0.784508 0.0035236 0.020248
1 -1 0.884214 0.00306153 0.0206904
1 1 0.815086 0.00184558 0.0133433
1 0.9 0.755739 0.00106799 0.00868846
1 0.5 0.729643 0.000795581 0.00790619
1 0.1 0.661606 0.000578805 0.00654296
1 0.01 0.597532 0.000570422 0.00624991
0.1 -1 0.00989182 3.15459e-08 5.58539e-05
0.1 1 0.00421543 4.53479e-09 3.66593e-05
0.1 0.9 0.00225358 2.10217e-09 2.69458e-05
0.1 0.5 0.00215921 2.05034e-09 2.6796e-05
0.1 0.1 0.00203557 1.99248e-09 2.6396e-05
0.1 0.01 0.00201893 1.99276e-09 2.63124e-05
