Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.97955 0.0195446 0.0663582 0.645622 0.063299
10 1 0.957217 0.0119389 0.0430107 1.19178 0.081662
10 0.9 0.936255 0.00666805 0.0295124 1.61426 0.100559
10 0.5 0.924283 0.00501824 0.0266321 1.84466 0.109331
10 0.1 0.884285 0.00337559 0.0218893 2.68263 0.137317
10 0.01 0.826212 0.00333115 0.0214053 4.53848 0.18255
1 -1 0.940284 0.00387117 0.020716 1.29874 0.169482
1 1 0.887307 0.00267074 0.0133058 2.56715 0.212867
1 0.9 0.840016 0.00154395 0.0089108 3.48309 0.245343
1 0.5 0.817691 0.00110448 0.00818653 3.87879 0.260618
1 0.1 0.754583 0.000660988 0.00697871 5.22741 0.320117
1 0.01 0.691159 0.000646471 0.00676693 7.12758 0.395441
0.1 -1 0.246106 6.55633e-06 0.000270159 10.274 2.23379
0.1 1 0.144725 1.61185e-06 0.000155971 15.4519 2.81465
0.1 0.9 0.082115 5.51894e-07 0.000104303 16.4891 2.60241
0.1 0.5 0.0691306 4.4557e-07 0.00010025 17.171 2.74842
0.1 0.1 0.0463878 2.9186e-07 9.37574e-05 17.5198 2.657
0.1 0.01 0.0372654 2.3328e-07 8.9435e-05 18.8776 2.43984
