Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.848207 0.00834086 0.0479231 0.098965 0.005797
10 1 0.675019 0.00213436 0.0313615 0.197746 0.008383
10 0.9 0.554858 0.00132013 0.0247123 0.246646 0.009638
10 0.5 0.514858 0.00112591 0.0241952 0.248836 0.010036
10 0.1 0.381921 0.000796651 0.0231969 0.308133 0.011651
10 0.01 0.237449 0.000766945 0.0231342 0.383311 0.013008
1 -1 0.584602 0.00126529 0.0140574 0.144796 0.015441
1 1 0.373791 0.000292863 0.00917432 0.272015 0.017439
1 0.9 0.25241 0.000134037 0.00743948 0.333102 0.019561
1 0.5 0.225832 0.000123187 0.00739631 0.337428 0.018958
1 0.1 0.147215 0.000101657 0.00729509 0.35059 0.023194
1 0.01 0.0921695 9.6537e-05 0.00728869 0.36808 0.020801
0.1 -1 -2.26552e-12 1.99631e-30 0 0.155732 0.033643
0.1 1 -2.26552e-12 1.99631e-30 0 0.157375 0.032265
0.1 0.9 -2.26552e-12 1.99631e-30 0 0.15769 0.032268
0.1 0.5 -2.26552e-12 1.99631e-30 0 0.157203 0.032461
0.1 0.1 -2.26552e-12 1.99631e-30 0 0.160223 0.033621
0.1 0.01 -2.26552e-12 1.99631e-30 0 0.149516 0.032336
