Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.993469 0.00678142 0.0120477 0.857695 0.046639
10 1 0.969755 0.00640998 0.00836145 2.00206 0.09764
10 0.9 0.946106 0.00423637 0.00702585 2.87202 0.137056
10 0.5 0.930556 0.00329504 0.00685787 3.48206 0.161732
10 0.1 0.874567 0.00193854 0.00667493 6.3888 0.255741
10 0.01 0.764314 0.00165078 0.00664056 17.7831 0.677082
1 -1 0.981601 0.00154774 0.00551616 2.04831 0.1544
1 1 0.921976 0.00187152 0.00388236 4.70391 0.227117
1 0.9 0.865455 0.00126059 0.00324998 6.90198 0.3245
1 0.5 0.833743 0.000962529 0.00319442 8.2967 0.370818
1 0.1 0.741514 0.000593049 0.00313677 12.149 0.580664
1 0.01 0.599358 0.000541087 0.00312727 22.6629 1.99816
0.1 -1 0.628879 2.80682e-05 0.000644435 19.9109 3.26401
0.1 1 0.378537 2.98728e-05 0.00044673 46.9614 9.3371
0.1 0.9 0.225707 2.23154e-05 0.00036741 55.751 13.5668
0.1 0.5 0.191865 1.97637e-05 0.000366083 55.7874 13.6125
0.1 0.1 0.12758 1.70946e-05 0.000363828 62.999 13.1376
0.1 0.01 0.0991695 1.69056e-05 0.000363743 63.1671 14.931
